Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
ERR320783,2013-08-18 20:24:29,2013-08-12 21:17:02,32430931,6486186200,32430931,200,4126,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR000/320/ERR320783/ERR320783.sralite.1,ERX293923,7067788,WGS,RANDOM,GENOMIC,PAIRED,85,0,ILLUMINA,Illumina HiSeq 2000,ERP002418,PRJEB1716,,268741,ERS226840,SAMEA2059195,simple,32644,unidentified,SAMEA2059195,,,,,,,no,,,,,SC,ERA243956,,public,6EB2BDED609CE331515CADF226A740E9,CBBB257808376E8A1327EF7A6D522E0F
ERR320784,2013-08-19 20:37:06,2013-08-13 01:29:09,24152552,4830510400,24152552,200,3044,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR000/320/ERR320784/ERR320784.sralite.1,ERX293924,7067789,WGS,RANDOM,GENOMIC,PAIRED,85,0,ILLUMINA,Illumina HiSeq 2000,ERP002418,PRJEB1716,,268741,ERS226841,SAMEA2059196,simple,32644,unidentified,SAMEA2059196,,,,,,,no,,,,,SC,ERA243956,,public,3B8505A61CF6873DA9AD33905BFDE95B,CC4BD48930398AC7B529E2E07124E408
ERR1300971,2016-03-11 22:59:21,2016-03-14 20:40:07,1276916,638458000,1276916,500,360,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR001/300/ERR1300971.sralite.1,ERX1372630,13425821,WGS,RANDOM,GENOMIC,PAIRED,350,0,ILLUMINA,Illumina HiSeq 2500,ERP006046,PRJEB6505,,261306,ERS1073963,SAMEA3886829,simple,1070528,viral metagenome,SAMEA3886829,,,,,,,no,,,,,THE WELLCOME TRUST SANGER INSTITUTE,ERA570243,,public,B009D6343EA71C07B70A3CD066DA2EDF,DC86123FB575E101756E3E2EB80CB8F1
ERR1301247,2016-03-11 23:01:45,2016-03-14 20:32:42,2679757,1339878500,2679757,500,788,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR001/301/ERR1301247.sralite.1,ERX1372906,13951587,WGS,RANDOM,GENOMIC,PAIRED,350,0,ILLUMINA,Illumina HiSeq 2500,ERP006046,PRJEB6505,,261306,ERS1074093,SAMEA3886959,simple,1070528,viral metagenome,SAMEA3886959,,,,,,,no,,,,,THE WELLCOME TRUST SANGER INSTITUTE,ERA570243,,public,3DAE87BD87E717580ECEED64D18677A0,C06BB7338260B57193A161CC4222941A
ERR1009450,2015-09-09 09:04:30,2016-03-06 00:20:04,582089,291044500,582089,500,154,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR001/009/ERR1009450.sralite.1,ERX1088474,14151917,WGS,RANDOM,GENOMIC,PAIRED,500,0,ILLUMINA,Illumina HiSeq 2500,ERP010704,PRJEB9580,,295163,ERS746356,SAMEA3448804,simple,32644,unidentified,SAMEA3448804,,,,,,,no,,,,,THE WELLCOME TRUST SANGER INSTITUTE,ERA476789,,public,639619A39A146015437727DD0B91DBFF,475D52FA477B4C9DBF59E1410EBEF17E
ERR1301407,2016-03-11 23:01:47,2016-03-14 20:27:54,1135885,567942500,1135885,500,322,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR001/301/ERR1301407.sralite.1,ERX1373066,13951524,WGS,RANDOM,GENOMIC,PAIRED,350,0,ILLUMINA,Illumina HiSeq 2500,ERP006046,PRJEB6505,,261306,ERS1074106,SAMEA3886972,simple,1070528,viral metagenome,SAMEA3886972,,,,,,,no,,,,,THE WELLCOME TRUST SANGER INSTITUTE,ERA570243,,public,3243DDA9BDE864979E9DFF1F763D4080,02EFF8511BFF503FC773484857627B1E
ERR1301438,2016-03-11 23:01:48,2016-03-14 20:27:14,1318124,659062000,1318124,500,359,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR001/301/ERR1301438.sralite.1,ERX1373097,13951561,WGS,RANDOM,GENOMIC,PAIRED,350,0,ILLUMINA,Illumina HiSeq 2500,ERP006046,PRJEB6505,,261306,ERS1074125,SAMEA3886991,simple,1070528,viral metagenome,SAMEA3886991,,,,,,,no,,,,,THE WELLCOME TRUST SANGER INSTITUTE,ERA570243,,public,B1403024075F0149BAE4E4F770D467A6,D95CF5373D450FBA06F2EABED8284E6C
ERR1301632,2016-03-11 23:01:50,2016-03-14 20:22:43,1562141,781070500,1562141,500,425,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR001/301/ERR1301632.sralite.1,ERX1373291,14304116,WGS,RANDOM,GENOMIC,PAIRED,350,0,ILLUMINA,Illumina HiSeq 2500,ERP006046,PRJEB6505,,261306,ERS1074252,SAMEA3887118,simple,1070528,viral metagenome,SAMEA3887118,,,,,,,no,,,,,THE WELLCOME TRUST SANGER INSTITUTE,ERA570243,,public,DCE6768A9DDC7C7FC4768297EC6A6096,3D92BE2DACF1AEB70E9D8B7AB5DDA7E0
ERR1301737,2016-03-11 23:01:52,2016-03-14 20:20:18,1625696,812848000,1625696,500,435,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR001/301/ERR1301737.sralite.1,ERX1373396,14304156,WGS,RANDOM,GENOMIC,PAIRED,350,0,ILLUMINA,Illumina HiSeq 2500,ERP006046,PRJEB6505,,261306,ERS1074267,SAMEA3887133,simple,1070528,viral metagenome,SAMEA3887133,,,,,,,no,,,,,THE WELLCOME TRUST SANGER INSTITUTE,ERA570243,,public,DED2C98A7E73C50EAE8F81D6C7DEA96F,3D0DF5712F2CFE8CF041B554B4D6C92D
ERR1301727,2016-03-11 23:01:51,2016-03-14 20:20:56,1295573,647786500,1295573,500,348,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR001/301/ERR1301727.sralite.1,ERX1373386,14304131,WGS,RANDOM,GENOMIC,PAIRED,350,0,ILLUMINA,Illumina HiSeq 2500,ERP006046,PRJEB6505,,261306,ERS1074911,SAMEA3887777,simple,1070528,viral metagenome,SAMEA3887777,,,,,,,no,,,,,THE WELLCOME TRUST SANGER INSTITUTE,ERA570243,,public,F0FBFA2267973C2D28EE55C05AAA3343,96BE51617450026F46EA942C613F53EE
ERR1301983,2016-03-11 23:02:37,2016-03-14 20:14:06,1847824,923912000,1847824,500,525,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR001/301/ERR1301983.sralite.1,ERX1373642,14418920,WGS,RANDOM,GENOMIC,PAIRED,350,0,ILLUMINA,Illumina HiSeq 2500,ERP006046,PRJEB6505,,261306,ERS1074223,SAMEA3887089,simple,1070528,viral metagenome,SAMEA3887089,,,,,,,no,,,,,THE WELLCOME TRUST SANGER INSTITUTE,ERA570243,,public,0F0B05A7685EF8480057EECA098A8479,C6799EF5D60AE5D938211DD542BCC055
ERR1301757,2016-03-11 23:01:52,2016-03-14 20:19:20,1306968,653484000,1306968,500,348,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR001/301/ERR1301757.sralite.1,ERX1373416,14304171,WGS,RANDOM,GENOMIC,PAIRED,350,0,ILLUMINA,Illumina HiSeq 2500,ERP006046,PRJEB6505,,261306,ERS1074284,SAMEA3887150,simple,1070528,viral metagenome,SAMEA3887150,,,,,,,no,,,,,THE WELLCOME TRUST SANGER INSTITUTE,ERA570243,,public,159819B8A0A5A92465D63BD97472BC48,145A13712FE41F5DDD5CDB437954AE1B
